,chat
444,옮겨주시멬
446,대박
447,대박
448,그럼
449,모여
450,모여
452,모여
454,좋아
456,그날
457,일단
458,일단
460,끝나고
461,톡할게
463,민선
464,혜란
465,수현
466,진서
467,초록
469,시깁오분
470,이케
471,불럿어
472,십오분
477,다시
478,담주
479,수요일
482,일단
484,수는
485,있을
486,거야
487,서영쓰
488,우리
489,이번에
491,프로그래밍
492,팀플하는데
493,주제
494,할만한
497,있을까
498,서울시
499,공모전
500,이런
502,찾아보니까
503,걔네는
504,너무
505,거창하고
506,적당히
507,초보자
508,선에서
509,할만한
510,데이터
511,프로젝트
512,있을까
513,으으음
514,오빠
516,지금
517,봤다
518,딱히
519,생각나는
521,없는데
524,보니까
525,이런
526,것도
527,있고
529,주식분석도
530,괜찮고
531,오빠가
533,컨셉
534,잡아서
535,시각화하는
537,정도
538,오홍
539,일단
540,어제까지
541,의견내는
542,거여서
543,수강신청
544,과목
545,강의평
546,분석하는
548,말함
550,할게
551,없더라
552,마땅히
554,갠찮을
556,같은데
557,잼껫다
560,될지
561,모르겠네
562,근데
563,다른
564,조원들이
565,개판으로
566,아이디어
567,내서
568,몰겠다
570,몇시에
571,회기와
572,서영
573,오빠
575,모르게
578,싸이
580,때쯤
581,우리
582,만나지
583,않으까
586,봐야
588,나도
589,이제
590,회기
591,살거야
593,진짜
594,대박
597,헤헤헤
598,넘조아
599,그럼
600,통학은
601,여기서
602,차로
603,그그
604,설국
605,타게
606,담학기는
607,휴학쓰
609,휴학하고도
610,회기에
611,있게
612,동기
615,생긴다
616,맨날
617,진서랑
618,있어서
619,지겨웠어
622,그럴만
623,하지
625,오빠
629,반이나
630,시에
631,서울
632,도착할듯
633,회기회기
634,회기에
635,그때
636,도착
638,오키
639,우리
640,그럼
641,먼저
642,만나고
643,있나
644,혜란이도
645,언제
646,오는지
647,모르겠넹
649,일단은
650,열람실에
651,있을게
652,나는
653,오빠
656,쳐랏
658,긴장된당
661,알아보고
662,있어
663,야쓰야쓰
664,회기역
665,쪽에
666,오피스텔
667,새로
668,짓는
670,갈듯
671,전세가
672,없어요
677,서영
678,어디야
680,오빠
683,왜왜
685,봤엎
688,아닠
690,친구랑
692,먹는데
694,회기에
695,있으면
696,같이
697,먹을까
698,해서
702,오빠
703,언제까지
704,먹을거야
705,나나
706,지금
707,친구랑
708,강남인데
709,회기
710,가면
717,그냥
718,다음에
719,동기
720,들끼리
721,먹자
722,우리
723,열한시
726,파할듯
727,우리도
728,집들이
729,시켜줘
731,완존완존
733,근데
734,무슨
735,친구
737,서강대분
738,아닠
740,친한
741,친군데
743,회기면
744,같이
745,볼라
746,했지
748,계절학기
749,너무
750,하기
751,싫다
755,까비
758,오늘
759,인턴
761,출근했어
762,오빠
763,흐흐
764,계절
766,들어
768,관리회계
770,이번에
771,장학금
772,받았어
774,히히
776,잘해
778,지누
780,완존
781,멋쪄
782,수고
783,많았슈
784,우리
785,상현이
786,오빠랑
787,보쟈
788,오빠
790,끝났다
791,레츠
792,기릿
793,우리
794,진서랑
795,나랑
796,상현이
797,형이랑
798,수용일
799,저녁
800,먹기로
801,핬은데
802,그날
803,가능해
806,그날
807,고등학교
808,친구들
809,오는데
811,오빠
812,오늘은
813,안된대
814,화욜
815,비는데
816,엉엉
818,방금
819,물어봤어
820,잠만
821,흠냐링
822,서영
823,들었어
824,아까
825,상현이
826,형이
828,너한테
829,여덟시
830,이후에
831,먹자고
832,했다길래
833,그런
835,알고
836,있었는데
839,아닠
841,오빠
843,퇴근이
844,시야
846,오늘
847,시에
848,출근했거든
850,언능
851,가께
852,진서도
853,온대
856,아까
857,내가
858,상현이
859,형한테
860,물어본다
861,했자나
862,아싸
863,아싸
864,오빠
865,게임하는듯
867,셤인데
868,갠차나
869,근데
870,상현이
871,형이
872,서영이
873,여덟시에
874,끝나서
875,그때
876,보자고
877,해서
878,얘기
881,알았어
883,아니
884,게임한다구
885,사라지셨움
887,저녁
888,어짜피
889,먹는
890,건데
891,상관없지
892,그럼
893,회기
894,오면
895,몇시야
896,으으음
897,배고파
899,상현이
900,형은
901,집에서
902,자고
903,있대서
906,때쯤
907,전화달래
912,회기
913,도착하는데
914,오빠
915,먼저
916,먹고
917,있으해
919,아하
920,아녀
924,하다가
927,때쯤
928,맞춰
929,나갈게
930,그럼
931,여덟시
932,사십분쯤으로
933,알고
934,있는다
936,이거
937,가능
945,아홉시쯤
946,오빠
947,탈수
948,있울
951,아직
952,안옴
954,우리
955,오디가지
956,진서가
957,장군집
958,가자는데
965,콜콜
967,그럼
968,아홉시에
969,장군집에서
970,보자
971,오오키오키
972,자리
973,잡고
974,있을게
976,서영
977,장군집
979,보내줘
982,완전
983,까먹었어
984,오빸
986,얼마였지
987,지금
988,보내줄께
989,진짜
990,미안
993,갠차나
994,나도
995,까먹고
996,있다가
997,아까
998,생각남
1000,보내주면
1002,봉투가
1003,도착했어요
1004,송금봉투
1005,받기
1006,완료
1007,받은
1008,페이머니로
1009,결제
1010,투자
1011,송금
1012,이용하면
1013,리워드를
1014,받을
1016,있어요
1017,지누지누
1018,나두
1019,다낭가는데
1020,계획
1022,없오
1023,다낭가서
1024,뭐했어
1026,언제
1028,지금도
1030,낭이긴
1033,숙소는
1034,예약했어
1036,나나
1037,회사
1038,워크샵
1039,가는
1040,거라
1041,이틀
1042,동안
1043,아침부터
1044,저녁
1046,반쯤까지
1047,자유
1048,시간이얌
1049,뭐해야
1050,되지
1051,숙소는
1052,포포인츠
1053,바이
1054,쉐라톤
1055,여기래
1056,하루는
1057,미케비치에서
1058,놀고
1059,하루는
1060,바나힐
1061,갔다와
1062,그리고
1063,저녁에
1064,한강가면
1065,먹을
1066,것도
1067,많고
1068,진짜
1069,이뻐
1070,호이
1071,안도
1072,진짜
1073,좋은데
1074,당일
1075,치기로는
1077,무리일듯
1078,한강
1079,오호랏
1080,그렇게
1081,놀게
1082,헤헤
1083,뭐가
1085,맛있나용
1086,그리구
1087,미케비치에서
1088,액티비티
1089,하고
1090,싶어
1091,내가
1092,가본데
1093,맛있는데
1094,알려줄게
1099,쌀국수
1102,코코넛
1103,아이스
1104,블렌디드
1105,음식도
1106,맛있어
1108,카페
1109,시그니쳐
1110,메뉴
1111,중에
1112,먹고
1113,싶은거
1114,기억나는
1117,정도
1119,헐헐
1121,가볼게
1122,헤헤헤헤
1124,부롭다
1125,오빠
1126,이번에
1127,너무
1128,놀았다
1129,진짜
1130,다시
1131,개학하면
1132,달려야지
1133,맥주
1134,먹자
1135,종종
1136,힘들면
1138,오빠
1140,먹자
1143,보고
1144,싶어
1145,그니까
1147,회사
1148,그럼
1149,월까지만
1150,다녀
1151,복학은
1152,하지
1154,복학이
1155,아니구나
1156,너는
1157,쨋든
1158,학교
1159,다니지
1162,휴학해
1165,오빠
1166,원을
1167,받으세요
1169,받기
1170,완료
1171,예약
1172,충전해두고
1173,송금
1174,결제하면
1175,매월
1177,천만
1179,행운이
1180,지누
1181,나랑
1182,저녁
1183,먹구
1184,도서관
1185,갈래
1187,서영
1189,지금
1190,분당인데
1191,여섯시에
1192,파마함
1194,점심이나
1195,저녁
1197,오오오
1198,조아조아
1199,둘다
1200,먹자
1206,나랑
1207,공부
1208,메이트
1209,해조
1211,오오
1212,파마
1213,하고
1214,내일
1215,보자
1217,공부
1218,레츠
1219,기릿
1220,빡세게
1221,가보자
1223,지누
1224,피방
1225,간다구
1226,내일
1227,공부해야지
1233,지금
1234,가면
1235,언제와
1239,하고
1240,갈라
1241,했지
1242,요새
1243,많이
1244,안한다
1245,지누
1247,지금
1248,인남
1251,지금
1254,언제
1255,갈래
1261,잤눙
1263,오빠
1265,일당
1267,씻을게
1268,오빠도
1269,씻어
1271,씻고
1272,나옴
1273,준비
1275,되면
1276,말해줘
1281,얼릉
1282,하께
1283,오빠
1285,먹구
1286,시퍼
1288,딱히
1289,생각나는
1291,없다
1293,먹고
1294,싶은데로
1295,가자
1297,준비
1298,다했는데
1299,오디루
1300,가지
1301,일단
1302,정문쪽으로
1303,갈까
1306,나도
1307,나갈게
1309,청량초쪽으로
1310,올랭
1313,분까지
1314,거기서
1315,만나자
1316,넵넵
1317,서영
1319,빨래
1320,예약한
1322,널고
1323,올게
1324,저녁
1326,시에
1327,먹을래
1330,나는
1331,상관
1332,없는뎅
1333,슬슬
1334,배고픈
1336,같아
1337,그치
1339,공부는
1340,힘들어
1346,언호는
1347,결국
1348,안올건가봐
1350,면회
1351,갔을걸
1352,네시에
1353,친구
1354,면회
1355,간다고
1356,했어
1357,할보
1358,먹을래
1359,후문에
1362,친국
1363,오지
1364,말라
1365,해서
1366,지금
1367,집인데
1368,오늘
1369,안나올듯
1371,오빠
1373,할보빼고
1375,괜찮아
1376,할보
1377,안먹어서
1378,후문
1379,쪽에서
1380,먹자
1382,진짜
1384,그럼
1386,후에
1387,후문
1388,쪽으로
1389,올래
1391,향이나
1392,돈부리도
1393,있고
1394,백반집도
1395,있어
1398,네네넹
1400,그그
1401,정경대
1404,쪽으로
1405,내려갈겡
1406,분까지
1411,지갑
1412,두고
1413,나왔당
1414,내가
1415,보내줄게
1416,오빠
1418,나도
1419,지갑
1421,가져왔는데
1423,계좌
1424,이체
1426,거임
1436,어디야
1443,영대
1444,잠만
1446,가게가
1447,없는데
1450,일단
1451,커피
1452,베이
1453,쪽으로
1454,와봐
1455,서영
1457,어노
1458,꿀닭에서
1459,먹었대
1460,예향
1461,지나가는
1464,벙커
1465,있는
1466,쪽으로
1468,내려와
1469,서영앜
1470,여기에
1474,있다
1476,넹넹
1477,지누야
1481,집이야
1482,구냥
1483,도서관
1484,갈까
1486,지금
1487,봤다
1489,가져
1490,왔어
1493,오빠
1495,근데
1496,종량제
1497,봉투
1498,맨날
1499,딴거랑
1500,같이
1501,사서
1502,몰랐는데
1504,비싸네
1505,그거
1506,은근
1507,비싸
1508,진짜
1510,리터
1511,짜리
1512,사지
1514,가끔
1515,그냥
1516,편의점
1517,봉투에
1518,버리는데
1520,리터
1521,리터
1523,금방
1524,차지
1525,않아
1527,근데
1528,집에서
1530,거의
1532,해먹어서
1534,오래
1535,가는듯
1537,맨날
1538,사먹어
1540,집에서
1543,먹어
1546,안해먹어
1550,먹는
1551,거라곤
1552,닭가슴살
1553,계란
1554,근데
1556,근처에
1557,누구
1558,안사니까
1560,배달도
1561,먹구
1562,사와서
1563,먹구
1564,그러니깐
1565,쓰레기
1566,짱마
1568,생기드랑
1571,배달은
1572,거의
1574,시켜
1575,먹어서
1576,쓰레기
1577,봉지
1578,일주일에
1579,하나
1581,정도만
1582,쓰는듯
1586,정문으로
1587,오세요
1590,오빠
1592,시까지
1593,도서관
1594,갈꺼야
1595,지켜봐줘
1597,지누지누
1598,혹시
1599,오빠
1600,패드
1601,빼면서
1603,펜슬
1604,뺐어
1606,봤는데
1607,펜슬
1608,잃어버렸어
1609,어어엉
1611,사람이
1612,가방
1613,치우면서
1614,빠진듯
1615,가서
1616,찾아봐야겠다
1620,있을
1621,거야
1622,찾았어
1623,지누야
1624,어제
1625,우리
1626,가방
1627,어디에
1628,있어
1630,으악
1631,찾았당
1634,진짜
1635,대박
1637,어딨었어
1639,경비실
1641,오늘부터
1642,정신
1643,차리고
1644,다녀야지
1645,진짜
1646,다행이네
1647,착한
1648,분이
1649,가져다
1650,주셨구나
1651,정문으로
1653,배고프다
1657,지금
1658,정문
1659,지에스
1661,오빠
1663,벌써
1664,배고파
1666,나도
1667,수업은
1668,어땠어
1670,먹어야겠다
1673,교수님이
1674,회귀를
1675,회기라고
1676,하셔서
1677,지금
1679,성웅성
1683,갑분회기
1691,일부로
1692,넣은
1694,같은데
1695,웃으라고
1696,근데
1697,발음도
1698,회기라고
1699,하셔
1706,진지하신듯
1708,수업
1709,자체는
1710,어때
1711,야야
1712,서영아
1713,어제
1714,취해서
1716,기억
1718,나는데
1719,너랑
1720,형석이
1721,번호
1722,교환하기로
1725,코딩
1726,얘기하면서
1727,그랬던
1729,같은데
1733,어엉
1734,그랬던
1736,같오
1739,그럼
1741,번호
1743,줘도
1745,형석이도
1746,물어보더라고
1749,엉엉
1750,상관없어
1751,근데
1753,코딩
1754,못해서
1758,애도
1759,전과해서
1760,거의
1761,모르나봐
1762,일올날
1763,공부하실
1764,서영
1765,조치조치
1767,아싸
1768,오빠
1769,그날은
1770,진짜
1771,열공이당
1772,무조건이지
1773,아침에
1774,가는
1775,거야
1780,일요일에
1781,점심
1782,먹고
1783,회기
1784,갈라
1785,했는데
1787,지금
1788,분당
1789,왔거든
1793,아아앙
1794,그럼
1795,인정
1798,네시까진
1799,갈게
1801,넉넉하게
1802,공부하고
1803,있어
1807,그날은
1808,맛있는
1810,먹자
1812,당연하지
1813,일단
1814,뚝배기
1815,탈락
1816,생각해
1818,나도
1819,생각해볼게
1822,거기
1823,가성비
1824,좋은데
1825,먹고
1826,나면
1827,배고프더라
1831,나두
1832,찾아보께
1833,서영
1834,어디
1836,학교
1837,도착
1839,오빠
1841,본가에
1843,생겨서
1844,지금
1845,평택
1846,가는중
1849,일단
1850,빨리
1851,가볼게
1852,오빠
1854,없다구
1855,공부
1856,안하면
1857,안대
1861,당연하지
1862,큰일은
1863,아니지
1865,조심히
1866,갔다와
1867,네에
1869,오빠
1871,아저씨가
1872,박은
1873,부분
1874,저긴데
1876,앞문
1877,빼고
1879,고침
1883,엄청
1884,깔끔해졌네
1886,개이득
1888,거의
1889,새차다
1890,마지막
1891,사진은
1893,그칰
1896,왼쪽도
1897,많이
1898,박았는데
1899,존버할라고
1910,존버할만하다
1912,오늘
1913,저녁에
1915,서영
1917,엉엉엉
1918,근데
1920,오늘
1921,출근에다
1922,운동가는
1923,날이
1926,늦을듯
1927,흑흑
1929,우리는
1930,공부하러
1931,욌어
1933,맞아
1934,서영
1935,저번에
1936,팔천원
1937,보내줘
1941,뭔진
1942,모르겠지만
1943,보내줄게
1945,미아아안
1946,오빠
1948,내일
1949,공부고
1952,술자리
1953,그거구낭
1954,당연히
1955,고해야지
1956,윈드서핑
1957,갔다
1958,올게
1959,일단
1961,혜란이랑
1962,공부하다가
1963,혜란이
1965,전에
1969,오빠
1970,오늘
1971,윈드서핑가
1974,지금
1975,하는중
1977,재미없어
1978,이론
1979,수업
1985,그거
1986,그거
1988,들어야
1990,타는
1991,거라규
1993,계속
1994,잠만
1995,잤어
1997,이제
1998,물에
1999,나가는데
2000,빠지고
2001,올게
2003,이따
2004,여덟시
2008,근데
2009,혜란이가
2010,영화
2011,보쟤서
2018,고민듕
2021,대기
2022,타다가
2023,심심해서
2024,들어옴
2026,놓고
2027,와서
2028,지금
2029,봤다
2030,영화
2031,어떤거
2032,가장
2033,보통의
2034,연애
2035,나는
2036,아마
2037,안갈듯
2038,근데
2039,혜란
2040,혜라니
2041,친구
2042,언호
2043,이케
2044,간대
2046,진서
2047,지금
2049,위에
2050,있어
2052,오면
2053,물어볼게
2055,노란색이
2056,진서
2057,주황색
2058,아니구
2059,주황인가
2062,색약이라
2063,사실
2065,구분
2066,못해
2068,진짜
2069,몰랐엌
2071,근데
2072,저거
2073,주황같아
2074,뒷태가
2075,존재감
2076,뿜뿜한데
2079,웃곀
2080,나도
2081,타고
2083,재밌넹
2085,그치
2086,그치
2087,춥진
2088,않아
2089,진서
2090,간대
2092,지금
2094,더움
2095,지누야
2096,어노
2097,집에
2098,나랑
2099,언호
2100,있고
2101,혜란이는
2102,긱사감
2104,영화볼지
2105,말지
2106,고민
2108,할거
2109,많음
2110,그냥
2111,도서관
2112,가자
2113,나도
2116,해야겠다
2117,이런
2120,커트해야지
2124,언호도
2125,안간대
2128,조커보고
2129,싶어
2131,오늘
2132,참자
2133,이런
2135,공부하자
2136,일단
2138,배고픔
2142,우리
2143,이제
2145,도차게
2147,씻고
2148,여섯시에
2149,나갈게
2151,오빠
2153,먹게
2154,일단
2155,씻고
2156,나옴
2157,빨래만
2158,넣어두고
2159,갈게
2161,오빠
2162,빨래
2163,왕이네
2164,엉어어어어어
2165,봉투가
2166,도착했어요
2167,송금봉투
2168,받기
2169,완료
2170,받은
2171,카카오
2172,페이머니는
2173,송금
2175,온오프라인
2176,결제는
2177,물론
2178,투자도
2179,가능해요
2181,나옴
2182,아직
2183,언호네
2185,준비하고
2186,분후에
2187,나와
2188,서영
2189,일로
2192,안돼
2193,너네가
2194,나와
2196,언호
2197,빨래
2199,남았는데
2200,이것만
2201,널구
2202,가쟝
2204,아까
2205,분이었자나
2207,먹기
2208,전에
2210,속지
2213,진짜야
2214,엉덩이가
2215,따뜻해
2217,개빡친
2219,솔의
2221,극혐
2222,박진우
2224,아재
2226,이거
2228,맛있음
2229,정신
2230,맑게
2231,해줌
2234,그린을
2236,먹어
2237,가그린
2238,오바지
2239,이거
2240,오로나미씨
2241,없으면
2243,최애
2244,음료임
2245,오빠
2246,경열도
2247,앱으로
2248,예약
2249,가능한가봐
2253,예약은
2254,안되는데
2255,연장은
2256,가능해
2259,그래서
2260,알림오는구나
2261,와이파이
2262,잡아서
2267,대박
2268,언제
2269,갈거
2270,오빠
2271,시라며
2273,당연하지
2274,언호는
2275,조기퇴근
2276,원하던데
2277,혹시나
2278,해서
2279,물어본
2280,거야
2285,일찍
2286,가두대
2287,언호는
2288,지금
2289,뒤질라
2290,하던데
2293,에이
2296,나는
2297,무조건
2298,열두신데
2300,피곤할까봐
2303,진짜
2306,오브콜스
2307,글쓰기
2309,발푠데
2312,으으
2313,차라리
2314,공부가
2315,낫지
2316,열두시
2322,수정하고
2323,있어
2324,재밌겠다
2325,글쓰기
2327,생기면
2328,들을텐데
2331,들음
2334,이거
2339,계절로
2343,소논문
2344,안쓰고
2345,칼럼
2346,두갠가
2347,썼어
2350,바꾼다
2351,이번에
2352,재수강
2353,개라
2354,평점
2356,넘을듯
2361,대박
2362,그러면
2365,있는
2367,짱마
2369,교환도
2370,가고
2371,제주
2372,대도하고
2373,제주대는
2374,요새
2375,안된다더라
2376,근데
2377,교환이
2379,가고
2380,싶음
2383,가자
2384,가자
2385,가자
2386,그거
2387,얼릉
2388,신청해야
2389,적절할
2391,간당
2392,이번
2393,겨울에
2394,신청하면
2396,가는거
2398,진짜
2400,그거
2401,이상해
2403,일단
2405,가려고
2406,하긴
2407,했는데
2408,내년
2409,여름에
2410,신청하면
2413,학기
2414,전에
2416,아니구나
2417,그게
2418,방학때
2419,신청
2420,무조건
2421,한국에서
2422,한학기
2423,다니고
2425,담학기
2426,파견
2427,휴학
2428,안돼
2429,그래서
2432,근데
2433,한발
2434,회장단
2435,안하면
2437,제일
2438,좋긴
2439,한듯
2441,그럼
2442,이번
2443,방학
2445,신청하면
2446,되겠네
2448,엉엉
2450,개꿀
2453,넘짜
2455,무조건이다
2456,진짜
2459,넘으면
2460,동기들
2461,고기
2463,사줌
2467,아니다
2468,계산
2469,해보고
2470,내일
2471,다시
2472,말해줌
2473,혹시
2474,모르니까
2477,튕김
2478,한글
2479,앱이
2480,튕겼어
2488,날라갔어
2489,오늘
2490,고친거
2492,날아감
2493,히히히
2496,헤헤헤헿
2497,어케
2498,그거
2499,기록
2500,없나
2501,심지어
2502,미쳤네
2503,어케
2504,저장
2505,누르니까
2506,튕겨서
2508,한글
2510,아이패드
2511,마우스
2512,연결
2513,신세계당
2514,오빠
2516,구글
2517,독스
2518,써봤어
2520,이거
2521,맞지
2522,서영
2525,문서
2526,라고
2527,나와
2528,있는거
2531,맞을걸
2532,지금
2533,처음
2534,써보는
2536,수업
2538,전인데
2545,과제
2549,언호도
2551,해서
2552,같이
2553,하는
2560,개웃겨
2561,무슨
2562,수업이야
2563,인가탐인데
2565,수업마다
2566,논평
2567,써가야
2570,원래
2571,세시에
2572,만나는데
2576,가지고
2577,지금
2578,만남
2579,급하다
2580,급해
2585,아니
2587,맨날
2591,잔다
2592,언호가
2593,맨날
2594,자지
2596,맥도날드
2597,너무
2598,많이
2599,먹어
2601,잠깐
2602,누웠다가
2610,아아아아
2612,나두
2613,졸려
2614,죽겠다
2615,많이
2616,잤는데
2619,분당가
2620,오빠
2622,오늘
2623,오늘
2624,분당가서
2626,먹고
2627,내일
2628,점심에
2629,올라고
2631,오늘
2633,아고
2635,캐쉬
2636,많이
2637,남아서
2638,강남에
2639,호텔
2640,예약하고
2641,거기서
2643,먹기로
2646,대박이넹
2647,부롭다
2650,그럼
2651,내일
2652,공부
2654,근데
2655,강남인데
2656,명이서
2657,만원이야
2659,모텔보다
2660,싼듯
2662,오후에
2663,공부
2664,고고
2665,내일은
2666,도서관
2667,열람실
2668,가자
2669,거기가
2670,공부
2671,제일
2673,되는
2676,그랭
2677,그랭
2679,너무
2680,피곤하다
2681,할일
2683,많넹
2685,오늘은
2688,퇴근이야
2689,겨우
2690,다했다
2693,지금
2694,퇴근해서
2695,오늘
2696,회식
2697,간다
2698,크킁
2699,오오
2701,먹어
2704,애들이랑
2705,치킨
2706,먹으러
2707,왔음
2710,우리
2711,바베큐
2713,동기들이랑
2715,뭐야
2717,루프탑에서
2718,즐기네
2721,고등학교
2722,친구들이랑
2724,맛있겠다
2725,고기
2728,우리
2729,회사
2730,한분
2731,집에서
2732,먹었엉
2733,오빠
2734,강남쓰
2737,교대역에
2738,있는
2739,호텔
2741,먹고
2742,방금
2743,들어왔어
2744,히힣
2747,재밌게
2748,놀았느뇽
2749,그러면
2751,공부해야지
2752,머리
2753,아파
2754,어디임
2755,서영
2757,혜란이랑
2758,도서관
2760,방금
2761,왔닼
2763,지누얌
2764,부산갈
2766,오빠
2768,타도
2771,부산에
2772,아는
2773,언니
2774,있는데
2775,일요일에
2776,만나고
2777,따로
2778,월요일이나
2779,화요일에
2780,올라갈라고
2781,그러면
2783,차가
2784,애매해서
2786,지금
2787,일어남
2788,몸살
2789,걸려서
2790,앓아
2791,누웠다
2793,근데
2794,고속버스
2795,타고
2796,가서
2797,거기서
2798,렌트하는
2800,어때
2801,왕복
2802,오만원임
2803,버스
2804,오빠
2805,갠춘
2808,근데
2809,어노랑
2810,찾았을
2813,사마
2814,넌이던데
2815,가는데
2816,이만
2817,얼마던데
2819,운전해서
2820,가면
2821,나눠서
2822,해도
2824,힘들
2826,같고
2827,버스로
2828,가서
2829,거기서
2830,렌트하는
2832,나을
2834,같은데
2835,몸은
2836,별로
2838,괜찮은
2840,같아
2841,오빠
2842,대체
2843,어떻게
2844,논거야
2847,엉엉
2849,버스도
2850,조아
2851,많이
2852,남았으니까
2854,끝나구
2855,애들이랑
2856,얘기해보자
2860,먹었어
2861,암것두
2862,안먹었지
2863,지누지누
2864,공부해
2865,공부고
2867,윈드서핑
2869,오늘
2870,마지막
2873,이따
2874,저녁에
2879,지금
2880,팔번가
2881,저녁
2882,먹자
2883,이따
2886,공부하고
2887,있어
2890,오빠
2891,저녁
2893,먹을랭
2894,후문에서
2895,먹을거야
2897,상관없어
2898,도서관
2899,갈거면
2900,정문도
2901,괜찮고
2902,배고파
2903,서영
2904,나는
2905,그렇게
2907,고파서
2908,여섯시
2910,이후에
2911,먹으려고
2912,지금
2913,빨래
2914,돌려놓음
2917,아니
2918,오빠
2920,맨날
2921,빨래해
2926,이틀에
2928,번은
2929,하는
2931,같은데
2934,대박
2935,오빠
2936,그럼
2937,정문에서
2938,먹구
2939,도서관가댱
2940,오키
2941,오키
2942,진서는
2943,공부
2944,안한대
2945,정문으로
2946,여섯시
2947,사십분까지
2950,혼자
2951,먹겠대
2953,공부는
2954,모르겠어
2956,어노한테
2957,물어봐야겠당
2960,먹지
2962,고민이구만
2963,한식
2965,무조건
2966,한식
2967,어렵군
2968,점심에
2969,햄버거
2970,먹어서
2972,땡긴다
2973,집밥
2974,생각
2975,열었나
2976,아니면
2977,용용이네
2981,모르겠음
2983,용용이네는
2984,들어본
2986,같은데
2987,집밥
2988,생각
2989,깔끔해
2991,있는
2992,데면
2993,암데나
2994,고고
2995,아니면
2996,도읍지
2997,약간
2998,한식
2999,느낌이야
3000,아니면
3001,선이네
3004,아는데
3005,많네
3009,한식
3011,정문러
3014,어노는
3015,뭐래
3016,서영
3018,일단
3019,씻고
3020,올게
3021,잠만
3025,언호는
3026,답이
3027,없넹
3028,빨래
3030,남음
3031,분까지
3032,정문
3034,노는
3035,머겅댕
3038,팔번가야
3043,진짜
3044,오래
3045,있네
3049,오빠
3050,편할
3051,때와
3053,존버중
3057,도서관
3058,자리
3059,없더라
3061,벌써
3062,미춌네
3064,조금
3065,남았던
3067,같은데
3068,일단
3069,정문으로
3070,갈게
3072,옹옹
3073,오면
3074,말해조
3075,서영
